               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098198,            0.065386,             0.03102,                   0,                   0,                   0,                   0,            0.074212,            0.055164,            0.013293,            0.070182,           0.0033131,           0.0033131
                   1,            0.082575,            0.061431,             0.02141,             0.54588,             0.43871,             0.38156,            0.099194,            0.055556,            0.036797,           0.0069923,            0.040116,           0.0065807,           0.0065807
                   2,            0.072869,            0.054618,            0.017736,             0.39214,             0.45455,              0.3906,             0.16582,            0.045202,            0.040127,           0.0092033,           0.0099842,           0.0097822,           0.0097822
                   3,            0.063832,            0.051585,            0.012752,             0.47924,             0.54545,             0.50317,             0.21873,            0.039136,            0.035895,           0.0092651,            0.009703,            0.009703,            0.009703
                   4,            0.056239,            0.047115,           0.0098902,             0.54989,             0.45455,             0.50376,             0.22728,              0.0392,            0.034678,           0.0020302,            0.009703,            0.009703,            0.009703
                   5,            0.051663,            0.044256,           0.0085077,             0.97537,             0.72727,             0.76771,             0.28719,             0.03625,            0.037845,            0.001167,            0.009604,            0.009604,            0.009604
                   6,             0.04872,             0.04267,           0.0074335,             0.64357,             0.72727,             0.66055,             0.28158,            0.037186,            0.035003,          0.00091009,            0.009505,            0.009505,            0.009505
                   7,            0.046443,            0.041458,            0.006897,             0.98493,             0.72727,             0.81795,             0.26881,            0.035984,            0.034317,          0.00093069,            0.009406,            0.009406,            0.009406
                   8,            0.044519,            0.040668,           0.0063683,             0.79688,             0.71452,             0.70431,             0.25194,            0.035457,            0.033242,          0.00061584,            0.009307,            0.009307,            0.009307
                   9,            0.043583,            0.040817,            0.006136,             0.78269,             0.72727,             0.75903,             0.29393,            0.037029,            0.033455,          0.00053344,            0.009208,            0.009208,            0.009208
                  10,            0.042438,            0.039499,           0.0059823,             0.69476,             0.62207,             0.61765,             0.28154,            0.036951,            0.034979,          0.00072684,            0.009109,            0.009109,            0.009109
                  11,            0.041949,            0.040093,           0.0057816,             0.85369,             0.63636,              0.6677,             0.26128,            0.035292,            0.031738,          0.00068607,             0.00901,             0.00901,             0.00901
                  12,            0.040684,            0.038859,           0.0054104,             0.86573,             0.63636,              0.6739,             0.24195,            0.038881,            0.035106,          0.00066776,            0.008911,            0.008911,            0.008911
                  13,            0.039788,            0.037908,           0.0051161,             0.86918,             0.72727,             0.69249,             0.24624,            0.037131,            0.034352,          0.00043201,            0.008812,            0.008812,            0.008812
                  14,            0.039687,            0.037135,           0.0051478,              0.7889,             0.72727,              0.7613,             0.24383,            0.038305,            0.034453,          0.00048738,            0.008713,            0.008713,            0.008713
                  15,             0.03931,            0.037603,           0.0050101,             0.87477,              0.6352,             0.64851,             0.20866,            0.037542,             0.04186,          0.00063028,            0.008614,            0.008614,            0.008614
                  16,            0.038655,            0.036999,           0.0048031,             0.77744,             0.63527,              0.6686,             0.23227,            0.036025,            0.039649,          0.00090322,            0.008515,            0.008515,            0.008515
                  17,            0.038275,            0.036171,           0.0046989,             0.72492,             0.71943,             0.72009,             0.25978,            0.037893,            0.039843,          0.00046463,            0.008416,            0.008416,            0.008416
                  18,            0.037676,            0.036284,           0.0045682,             0.82907,             0.63636,             0.69987,             0.30454,            0.034913,            0.036254,          0.00043716,            0.008317,            0.008317,            0.008317
                  19,            0.037563,            0.036452,           0.0042943,             0.78359,             0.72727,             0.69686,             0.31356,            0.035581,            0.033584,          0.00033295,            0.008218,            0.008218,            0.008218
                  20,            0.037314,            0.036281,           0.0046043,             0.92865,             0.54545,              0.6851,             0.26729,            0.035731,            0.040583,          0.00098934,            0.008119,            0.008119,            0.008119
                  21,            0.036889,            0.035808,           0.0043701,             0.77675,             0.72727,             0.69284,             0.32754,            0.034322,            0.032246,          0.00028725,             0.00802,             0.00802,             0.00802
